seasonYear,date,gridID,startTime,duration,eBirdUsers,primaryObserver,secondaryObserver,fieldAssistant,notes
2024 Winter,2024-Dec-17,N16,8:06,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,M16,8:25,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,L16,8:44,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,K16,9:02,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,J16,9:27,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny; in a silent stream"
2024 Winter,2024-Dec-17,I16,9:45,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-17,H17,10:04,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-18,G09,6:26,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,G08,6:43,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,H07,7:00,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,I07,7:14,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,J07,7:30,10,"trsraman, jiggilypop",T R Shankar Raman,Jignasa Patel,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,J08,7:45,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,K08,8:04,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,K07,8:21,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,L06,8:41,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,K06,9:04,10,"jiggilypop, trsraman",Jignasa Patel,T R Shankar Raman,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-18,N11,6:44,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,Hazy
2024 Winter,2024-Dec-18,N10,6:58,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-18,N09,7:12,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-18,O08,7:28,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-18,P08,7:43,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-18,N08,8:01,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-18,M08,8:15,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny; spraying noise"
2024 Winter,2024-Dec-18,M07,8:30,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny; spraying noise"
2024 Winter,2024-Dec-18,L07,8:45,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny; stream noise"
2024 Winter,2024-Dec-18,L08,9:01,10,"jeganathan, rikudoukarthik",P. Jeganathan,Karthik Thrikkadeeri,Rajesh,"Clear, sunny"
2024 Winter,2024-Dec-18,G07,6:30,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Dull, hazy; stream near 20 m noisy"
2024 Winter,2024-Dec-18,G06,6:50,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,Stream at 30 m; clear
2024 Winter,2024-Dec-18,H06,7:06,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Sky clearing up, sun coming out"
2024 Winter,2024-Dec-18,I06,7:23,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-18,J06,7:38,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-18,K05,7:55,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-18,L05,8:13,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Dense undergrowth, low visibility, spraying machine noise; clear sunny"
2024 Winter,2024-Dec-18,L04,8:35,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,Clear; spraying noise
2024 Winter,2024-Dec-18,K04,8:51,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-18,J04,9:08,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"By the water, clear"
2024 Winter,2024-Dec-18,J05,9:25,10,"pritibangal, navin3020",Priti Bangal,Navin Radhakrishnan,Moorthy,"Clear, sunny"
2024 Winter,2024-Dec-19,C03,6:30,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,Hazy. Tea Edge
2024 Winter,2024-Dec-19,D03,6:47,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,Hazy.
2024 Winter,2024-Dec-19,E03,6:59,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,Misty
2024 Winter,2024-Dec-19,F03,7:14,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,
2024 Winter,2024-Dec-19,F02,7:29,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,Sun is out
2024 Winter,2024-Dec-19,G03,7:42,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,
2024 Winter,2024-Dec-19,H03,7:57,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,
2024 Winter,2024-Dec-19,I03,8:11,10,"jeganathan, navin3020",P. Jeganathan,Navin Radhakrishnan,Rajesh,"Near Reservoir, Water is full. Spraying noise (Far)"
2024 Winter,2024-Dec-19,A02,6:33,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Moorthy,"Foggy, near a tiny waterfall, noisy, no sun"
2024 Winter,2024-Dec-19,A01,6:51,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Moorthy,"Still foggy, no sun"
2024 Winter,2024-Dec-19,B01,7:11,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Moorthy,"Near stream, can hear the water slow, slight fog, no sun, near the same Bombax as in A01"
2024 Winter,2024-Dec-19,B02,7:30,10,"jiggilypop, pritibangal",Jignasa Patel,Priti Bangal,Moorthy,"Still hazy, some sun"
2024 Winter,2024-Dec-19,C02,7:48,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,Dew falling
2024 Winter,2024-Dec-19,C01,8:10,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Fog cleared, dense unterstory, no sun in the understory, by the backwater"
2024 Winter,2024-Dec-19,D02,8:30,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Fog cleared, dense unterstory, no sun in the understory, by the backwater, we could walk upto the water and scan"
2024 Winter,2024-Dec-19,E02,8:55,10,"pritibangal, jiggilypop",Priti Bangal,Jignasa Patel,Moorthy,"Fog cleared, dense unterstory, no sun in the understory, by the backwater, CSE! And Black Baza! "
2024 Winter,2024-Dec-19,F05,6:34,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Misty, stream nearby"
2024 Winter,2024-Dec-19,G05,6:51,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, light mist, stream noise. Near beautiful Elaeocarpus tuberculatus."
2024 Winter,2024-Dec-19,H05,7:07,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, some stream noise"
2024 Winter,2024-Dec-19,I05,7:23,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sun emerging"
2024 Winter,2024-Dec-19,H04,7:48,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny"
2024 Winter,2024-Dec-19,G04,8:04,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny; on swamp/river"
2024 Winter,2024-Dec-19,F04,8:24,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,"Clear, sunny; spraying machine noise from tea"
2024 Winter,2024-Dec-19,E04,8:42,10,"trsraman, rikudoukarthik",T R Shankar Raman,Karthik Thrikkadeeri,Sundararaj,Cloudy
